"","year","month","intent","police","sex","age","race","hispanic","place","education"
"67200",2014,"01","Suicide",0,"M",23,"White",100,"Trade/service area",2
"67201",2014,"01","Suicide",0,"M",20,"White",100,"Other specified",3
"67202",2014,"01","Suicide",0,"M",45,"White",100,"Home",4
"67203",2014,"01","Suicide",0,"M",34,"Native American/Native Alaskan",100,"Home",2
"67204",2014,"01","Suicide",0,"M",19,"Native American/Native Alaskan",100,"Home",2
"67205",2014,"01","Suicide",0,"M",22,"White",100,"Home",3
"67206",2014,"01","Suicide",0,"M",21,"Black",100,"Trade/service area",2
"67207",2014,"01","Suicide",0,"M",35,"Native American/Native Alaskan",100,"Street",2
"67208",2014,"01","Homicide",0,"M",31,"White",100,"Other specified",1
"67209",2014,"02","Suicide",0,"M",54,"White",100,"Home",2
"67210",2014,"01","Suicide",0,"M",15,"White",100,"Home",1
"67211",2014,"02","Suicide",0,"M",40,"Native American/Native Alaskan",100,"Home",2
"67212",2014,"02","Accident",0,"M",13,"Native American/Native Alaskan",100,"Home",1
"67213",2014,"02","Suicide",0,"M",56,"White",100,"Home",2
"67214",2014,"02","Suicide",0,"M",42,"White",100,"Home",2
"67215",2014,"02","Homicide",0,"M",22,"Black",100,"Home",2
"67216",2014,"02","Accident",0,"M",24,"White",100,"Home",2
"67217",2014,"02","Suicide",0,"F",22,"Black",100,"School/instiution",2
"67218",2014,"02","Suicide",0,"M",47,"White",100,"Home",4
"67219",2014,"02","Suicide",0,"M",50,"White",100,"Other specified",3
"67220",2014,"03","Suicide",0,"M",37,"White",100,"Home",2
"67221",2014,"03","Homicide",0,"M",55,"Native American/Native Alaskan",100,"Other specified",3
"67222",2014,"03","Suicide",0,"M",55,"Native American/Native Alaskan",100,"Other specified",3
"67223",2014,"03","Suicide",0,"M",63,"White",100,"Home",2
"67224",2014,"02","Suicide",0,"M",51,"White",100,"Home",2
"67225",2014,"03","Undetermined",0,"M",38,"White",100,"Home",3
"67226",2014,"03","Suicide",0,"M",58,"White",100,"Home",1
