index	mood	unique_interactions	alone	morale	stress	fatigue	compulsions	_activity	emails_activity	tv_activity	work_activity	working_out_activity	email_activity	leisure_activity	ash_stuff_activity	resting_activity	cooking_activity	in_class_activity	with_family_activity	working_activity	workshop_activity	trying_to_leave_apt_activity	feedly_activity	meditating_activity	in_classs_activity	shopping_activity	meditation_activity	ritualling_activity	reading_activity	chatting_activity	therapy_activity	schoolworkk_activity	just_woke_up_activity	eating_activity	with_k_activity	schoolworrk_activity	with_parents_activity	errands_activity	mozfest_activity	commuting_activity	schoolwork_activity	schoolworkrk_activity	meeting_activity	relaxing_activity	swashing_up_activity	k_activity	studying_activity	getting_ready_activity	showering_activity	washing_up_activity	with_friends_activity	london_location	home_location	cafe_location	airport_location	friend_home_location	mozfest_house_location	hotel_location	chicago_location	library_location	new_orleans_location	ole_and_steen_location	school_location	san_francisco_location	hamptons_location	k_home_location	therapy_location	mozfest_location	mountain_view_location	la_location	parents_home_location	parsons_location	vacation_location	hour_of_day	avg_attention	avg_engagement	avg_valence	blinks	expressions	Sadness_score	Analytical_score	Joy_score	Fear_score	Tentative_score	Anger_score	Confident_score	word_count	uniqueword_ratio	backspace_count	avg_dwelltime	avg_flighttime	stepCount	current_tabCount	current_windowCount	tabs_activated	tabs_created	windows_created	productivity_score	heart_rate
mood	1.0	0.39323692127710813	-0.3066879556711605	0.6753394954997402	-0.19538311387242974	-0.221220465319347	-0.1452705263201449		0.021094842101439738	-0.20266416983369018	0.048098197298988364	-0.02168738100148197	0.03417660172695553	-0.04838432724596836	-0.0468426711718441	-0.0017593530096783742	0.017355648613036758	0.06329212933703451	0.045772486713894736	-0.004586883131595984			-0.1435080671367578	0.01753068595551901	-0.028260447123469472		-0.04898325785126892		-0.04926063033671405	0.11043801773929275	0.01408093936031025	0.012387272261398798		0.07007420772907044	0.09261421568296926			-0.005758043778800859	0.045772486713895125		0.053728619114327816	-0.005068644338496536	-0.0035828025110150024	-0.0035828025110150206		0.06038888017854886	-0.031093022549696925	-0.02252456093839231	0.021094842101439602	-0.043724357192502665	0.4221781945400182	-0.003589076938390088	-0.2934612038297059	0.046583582482496486	-0.056581076227692685	0.019662056292903348	0.005719592885931445	-0.03998047753828729		-0.008022769785613466	-0.03998047753828729	-0.022524560938391933	0.33717650392196236		0.054586567047125785	0.05521539567409585		-0.006209998676258556	0.05106718885145974	0.00571959288593155	-0.06769766649403355		0.05939543389214831	0.06449839032326901	-0.06528666464274169	0.19898322176106814	0.07895821116511398	-0.014846773260699933	0.17438587216370696	-0.12202446728866842	-0.012817818263027676	0.16081825953293052	-0.0896820271603768	-0.005345434550810287	-0.011015992861550054	-0.0011489106794286411	0.06175440080272065	-0.06818492919496791	0.07101176096241263	-0.013010957940515098	-0.030997267691449913	0.10668432259776056	0.008537647059454858	0.018668751846902108	0.003961489074823976	-0.02164603633808942	-0.03377106135262703	0.06861157554576637	-0.13539833111325636
unique_interactions	0.39323692127710813	1.0	-0.4747310774052433	0.23325687884486226	0.017924934759948403	-0.14125653352987283	-0.08625742900916379		0.029058786549073432	-0.14978104331147601	-0.07330287780660204	-0.0010766057708586777	0.08725207484317508	0.07073179309922209	0.022669367794480665	-0.0032081849718320777	-0.08503203806269191	0.17881160832412943	0.07091292453679093	0.03505552614018071			-0.0460118432573159	-0.01863483399543841	-0.012795351438643323		0.06648809790159341		-0.03836707943734559	0.17771767932718566	0.04632539234079095	-0.008233162618420194		0.04217432059986427	-0.02148113969900539			0.0018409398259017005	0.029058786549073488		-0.08196405902843122	-0.027970387774972585	0.02905878654907338	0.0011560278905956036		-0.09853670492779219	-0.03669851483816538	-0.027970387774973002	0.0011560278905955958	-0.10685767927431232	0.3654984294793468	0.004934426502928104	-0.45748871493742116	-0.0022192869963606797	0.0023145175981595907	-0.02562214913828955	-0.047822737770140095	0.02137267511640853		-0.034900025732335596	0.02137267511640853	-0.027970387774972565	0.44899682080425796		0.12801062715974804	-0.019840540492107865		0.05842755061585393	-0.006611795305661885	-0.005849441853091951	0.09249774293704599		0.04826302229327393	0.11015257005985044	-0.09775102633951616	0.14930993799272557	0.04328211992257424	0.0016882461168860041	0.13715535891421074	-0.002040386172216262	-0.04628348061882297	0.15314908790899243	0.02440842915144117	0.039081739835956156	0.09860881141390086	-0.028503149823490663	0.12361322156146398	-0.08917491793220682	0.04195196330750168	-0.058282833177541335	-0.18807021946666938	0.07847994096854022	-0.056444643560754446	-0.017663423910634097	0.11208685180914525	0.0366049630843272	-0.028822146630983425	-0.018738817876275526	-0.11869768711329313
alone	-0.3066879556711605	-0.4747310774052433	1.0	-0.22529419456872304	-0.05830548335157602	0.1349810622767019	0.16463026347435986		0.019225833895331997	0.17722832538793684	-0.05582940448842742	0.0613111588011915	0.06830068175932641	0.07848538338803537	0.06307246859242323	0.05756858342380381	0.15902338270801966	-0.33563440904723607	-0.03686275589848813	-0.08090423347108548			0.08939154647832503	0.03849261012821517	-0.036862755898487844		0.0333237466125796		0.013077261740795433	-0.007399079877451976	-0.03230629276237367	-0.012475608770642974		0.0636428079132182	-0.12269548515628378			0.10345725319940878	-0.03686275589848844		-0.01745589779457568	0.027199074977437836	-0.03686275589848781	0.019225833895331987		-0.021356554975358804	0.0360240303961436	0.027199074977437915	0.019225833895332042	0.19022738554660437	-0.29996144175220174	0.06876359151415344	0.9217000150228105	-0.0977377113292298	-0.07380401280781775	-0.10844792955989246	-0.09215368606417655	-0.05215029251872429		-0.08254471278492388	-0.05215029251872429	-0.05215029251872361	-0.7699747664161709		-0.07380401280781734	-0.09215368606417783		-0.06389346457948791	0.014754893064764085	0.02034285980552176	-0.25809189822686956		-0.009882721241823739	-0.11248295747183316	0.14903554556913376	-0.12983858842591592	-0.01681114356179565	0.07912432489312857	-0.1483885418858771	0.04096995012841171	-0.02958312388056895	-0.0642067312677916	0.04140635463171244	0.07325457090423212	-0.03343884712510779	-0.041480042407749676	-0.011421401268485072	0.05135432410872033	-0.05814945751173578	0.004034728762309973	0.03500749478511988	-0.08364493146337684	0.1140463663644808	0.10936516848873948	-0.17372125134638275	-0.0739131350184884	0.017308560626418328	-0.14592325581601015	0.09361739473581092
morale	0.6753394954997402	0.23325687884486226	-0.22529419456872304	1.0	-0.058973532711448486	-0.3893923628001768	-0.19622528246512888		0.002735495894291838	-0.3449640173156578	0.23285954640080944	-0.008047690810741354	0.04852298562819259	-0.295070548589853	-0.005331493471231624	-0.0010353400116951083	0.06449554475399234	0.048733070539786434	0.0027354958942918213	0.0705019461243275			-0.18291731428158947	0.0394343661688746	0.0027354958942918018		-0.02138987613642759		-0.07985088075681851	-0.03794681924120176	0.03650878997995495	0.019866332066707917		0.07714983677739595	0.09121799567338278			0.028236191778627996	0.02534978279558023		0.20369003949179507	0.019866332066707893	0.02534978279558028	-0.019878791006996844		0.25082828550497055	-0.03597423092252194	-0.02812282317654917	0.025349782795580294	0.010187111919182286	0.13106263251077413	-0.004411646155311019	-0.24288604182400483	0.06721227680198381	-0.01716154884825293	-0.03829290144581292	-0.006889261499198712	0.003869946985622381		0.02638100776940495	0.003869946985622381	0.019866332066707865	0.27624903102510395		-0.005842365844827676	0.023348964291503044		-0.008324248387406754	0.07989379485649832	0.04602763363452945	-0.038689552556908945		0.07723791472429888	0.029052915915860865	-0.06253488380187348	0.0887369291193829	-0.024928573194868856	0.009071484167925725	0.061190744281206695	-0.10248653207351413	0.045764217941081056	0.1270587587591026	-0.060465393956629976	-0.009557549410959057	0.01914730775754473	-0.0023137704461733753	0.05931520925182084	-0.1391887954157669	0.14540121042972703	0.001223712348418088	0.03027356294643975	0.09667002148369669	-0.03703900315716266	-0.004482589419613861	0.030464162004097406	0.030500697789670198	-0.00429410272790759	0.19588652826511338	-0.17075177874909114
stress	-0.19538311387242974	0.017924934759948403	-0.05830548335157602	-0.058973532711448486	1.0	0.10462504465146419	-0.012629323531001687		-0.009963369194184613	-0.17738018145508658	0.19684903080718943	0.005797723532673473	0.01557076629118713	-0.1727115154161393	-0.06790343275692076	-0.013480140273952619	-0.020295191429879015	0.0475950357203558	-0.03996609323382836	0.11600994332878761			-0.07039162266516877	0.0025780467588831352	0.035040716865279806		0.017399435594976465		-0.010466508019738165	-0.047199431501309556	-0.015592074185259236	0.03896130093443612		-0.0056697016536905315	-0.10125039722589374			-0.10204002217125867	-0.02496473121400651		0.14783659466125001	0.007127323857383504	0.050042078885101406	-0.009963369194184609		0.17854081054408438	-0.02906940577946792	0.02834997524208526	0.020039354845458452	0.036891308918819005	-0.04388491856940947	-0.060314712898821385	-0.06428799237233793	-0.026416823116789525	0.07015605462168446	-0.08578701190595533	0.050259839108022356	-0.024706653219669254		-0.02902875941540031	-0.024706653219669254	0.017738649549734333	0.17741875391918518		-0.012439288321739914	-0.045019274756648006		-0.008602119890919442	-0.049518777864440894	-0.09516617679068728	-0.13477987267850106		-0.09873720765218016	-0.030685779945310274	-0.041573603688910894	-0.04848057165043233	-0.025084197868795677	0.0018009823638559389	-0.025602573145861857	0.07631427411413248	0.04926012299131442	-0.06066858304599044	0.049481377628987466	-0.026568623705821196	0.09932429294221788	-0.008752756294877106	0.03546727502828286	-0.05005774539026255	0.07072211878272999	0.03119246838770119	0.0008580596632922759	0.031180106506863713	0.2842781540082224	0.2784910342869229	0.0829150870585093	0.04744431158558329	0.0904356161781941	0.149416674452018	-0.24077381237697598
fatigue	-0.221220465319347	-0.14125653352987283	0.1349810622767019	-0.3893923628001768	0.10462504465146419	1.0	0.21100263464533645		-0.007075474785946023	0.13818028536062374	0.01039260680374319	0.020939336056430405	-0.09130614671909672	0.1487006469487206	-0.10505101920852558	0.028229279792570044	-0.10393791938969572	-0.02815908460216521	-0.022710170244092415	-0.030783215904776392			0.03651978276952825	-0.06112004576344817	0.008559220672200626		-0.012263776448614584		0.04268135158984362	-0.0446802466978483	-0.008841735699466282	-0.021069098922675635		-0.17899460718468196	-0.0755894476190019			-0.06389234501875574	-0.007075474785946052		0.023787395251697818	-0.021069098922675646	-0.007075474785945924	0.024193916130347517		-0.02167605271152497	-0.0013736286572174968	0.0010495387567429446	0.024193916130347187	-0.046204738472691284	-0.059460041573266884	0.09956255181872956	0.18976901392356652	-0.0542916585434322	-0.014166017135598036	0.0027887107525740567	-0.005607648444785278	0.03422749527587137		-0.03684965674858886	0.03422749527587137	0.0010495387567429429	-0.13934221515428438		-0.006340345697622843	-0.00560764844478532		0.023868622811571403	-0.10872568875836253	-0.08923008650721569	-0.0771173523870728		-0.1288700498127545	-0.2236499643845667	0.022527023042797446	-0.03630301621833202	0.04922121110471916	-0.005336696776175222	-0.058928299842908406	0.08281197894213616	-0.0016984672191671251	-0.08149344314948274	0.09333495994044291	-0.050671378808016594	0.010873169735021662	0.02808066629358818	-0.03803773866557606	0.041084829731370086	-0.06225845126789061	-0.010821150300330705	0.0027889521653268654	-0.11623506009135154	0.125264232213001	0.07805100954750799	-0.02631029446677649	-0.014643104143363643	-0.022154533554469013	-0.03220014201007738	0.08951331703662366
compulsions	-0.1452705263201449	-0.08625742900916379	0.16463026347435986	-0.19622528246512888	-0.012629323531001687	0.21100263464533645	1.0		0.027386891776489553	0.1844662340959825	-0.026005320891714565	-0.008594399329291345	-0.0399974418395189	0.11632136267192994	0.0333764905837097	0.020437958075046038	-0.062310284649966276	-0.04079673485083699	-0.025877972119382586	-0.030406853597329014			0.02969041059310055	0.00151052631558183	-0.025877972119382253		0.016694840626423835		0.04280411175876844	-0.006590216279041327	-0.034092491650620206	0.001067345611951352		-0.08811483243175837	0.026686936877869397			-0.020684616802685723	0.027386891776489793		-0.010655555370198817	-0.03660995448993314	-0.025877972119382132	-0.0258779721193826		-0.05246433293659116	0.059754705242942976	0.038744645713837164	-0.02587797211938213	-0.021545481003576658	-0.06224937573066599	0.07900617797427587	0.16000280540630685	0.012087954391228182	-0.025150263154438347	0.0028360250306512388	0.02897807725538283	-0.03660995448993391		-0.01023788401401166	-0.03660995448993391	0.0010673456119513166	-0.16995928425146892		0.028171315785603564	0.011172574607602266		0.016694840626423863	0.0398969689920057	0.04678357990316445	-0.03992134835099727		0.06786848578425932	0.005247360711423999	0.02998131837135497	-0.03568222945889843	0.03159867511957506	-0.02017180754314961	-0.06762637940730841	0.03922398632903542	-0.024613569116238986	-0.06527359429355474	-0.01966147489977824	0.019865642130048114	-0.05682866672779542	0.005298535727210937	-0.04698276714029099	0.09444127987375281	-0.07447304554800686	0.022438860360576532	-0.026678555938650803	-0.04874347972534763	0.07358041675288092	0.03915136020400529	-0.12577914505781168	-0.14646190477211057	-0.01872961910823466	-0.05560957857723272	0.08348282259310948
_activity																																																																																																			
emails_activity	0.021094842101439738	0.029058786549073432	0.019225833895331997	0.002735495894291838	-0.009963369194184613	-0.007075474785946023	0.027386891776489553		1.0	-0.009348344391745285	-0.032643360954111175	-0.0031910372458546937	0.11084899586802152	-0.018684603371271466	-0.0048301263636994765	-0.003425699689116496	-0.006349507787690023	-0.006695408797906513	-0.0007087172218285011	-0.007428496638641757			-0.007506703990014347	-0.001418943691052053	-0.0007087172218284982		-0.001228405137002474		-0.0023589230173220056	-0.004939910680180366	-0.0015869909369406925	-0.0010026328615579583		-0.011344422887850442	-0.0023589230173219925			-0.0096505290965233	-0.0007087172218285041		-0.02870124860199668	-0.0010026328615579568	-0.0007087172218284969	-0.0007087172218285017		-0.034920346440932344	-0.004603728398562996	-0.001002632861557971	-0.0007087172218284976	-0.00818693897719679	-0.008761759382806739	-0.0030251113065017654	0.020048622925089087	-0.001879089003325562	-0.0014189436910520428	-0.0026640779332319695	-0.0021322047785606794	-0.0010026328615579656		-0.0015869909369407558	-0.0010026328615579656	-0.001002632861557956	-0.015399098263907387		-0.001418943691052053	-0.0021322047785607453		-0.001228405137002474	-0.002009545910959349	-0.0021322047785607475	-0.007230352715700563		-0.0032710152998095686	0.013417456864645412	0.004840749015719672	-0.02018148428690234	0.0011164966339014168	-0.018205940799611475	-0.005689920512832153	0.02921929525033321	-0.016691406405643244	0.023274005255897984	-0.005600974985172479	0.019334972122762854	0.063227190241654	-0.008630798777484466	0.09524934810192473	-0.043136258953335296	0.07679255473923013	-0.012286630643678298	-0.030087146389221952	-0.015418432589869328	-0.00564012271234	-0.025188929959409835	-0.0015787473405421987	-0.003300733696459307	-0.008985263545196695	-0.02192170219631036	-0.01632884316792746
tv_activity	-0.20266416983369018	-0.14978104331147601	0.17722832538793684	-0.3449640173156578	-0.17738018145508658	0.13818028536062374	0.1844662340959825		-0.009348344391745285	1.0	-0.3241949716652769	-0.003747494280291899	-0.05440199626092028	0.5003234056399141	0.013674069982456395	-0.04518673949241929	-0.06367523724642815	-0.08831588306104118	-0.009348344391745343	-0.06298106046418049			-0.020958248861105512	-0.018716596532289263	-0.009348344391745386		-0.016203295079611824		-0.005347105121503829	-0.014641984299530812	-0.02093322607121748	-0.013225242733826354		-0.011438123177024254	-0.031115406935712568			-0.03537431069551482	-0.009348344391745231		-0.29225112056867864	-0.013225242733826343	-0.009348344391745431	-0.00934834439174532		-0.34314600716060856	-0.06072554360227257	-0.013225242733826227	-0.00934834439174541	-0.05154506252523217	-0.062167961151166976	-0.0399027728486384	0.17016321997357478	-0.024786149686767605	-0.018716596532288386	0.05632205420174323	-0.02812487684761442	-0.01322524273382637		-0.020933226071217476	-0.01322524273382637	-0.013225242733826395	-0.20312202026349885		0.023908942667053804	-0.028124876847614562		-0.016203295079611487	0.0036767695607654873	0.000342740434702337	0.03002301290947127		0.013003561233296218	0.09961707046274756	0.06174854064734808	-0.0461123278755714	0.057854904944934935	-0.02036137387304898	-0.008561249905369715	0.057694227851187385	-0.10416276005060521	-0.12696620986353183	-0.010664385518550477	-0.01545328130217596	-0.08676262679065351	0.019327397390671207	-0.12841368716392698	0.15408466642667085	-0.18232612576497204	-0.01714719218232643	0.01787065496604069	-0.05705388705658538	-0.07479442733869489	-0.10094637299045957	-0.1542673802488484	-0.13997805721505338	-0.07026633605540362	-0.28109412318462174	0.14370766349590128
work_activity	0.048098197298988364	-0.07330287780660204	-0.05582940448842742	0.23285954640080944	0.19684903080718943	0.01039260680374319	-0.026005320891714565		-0.032643360954111175	-0.3241949716652769	1.0	0.0977545556764362	-0.17349067383426545	-0.3716684843488971	-0.1648503906723987	-0.0778256135223825	-0.08101013853146954	-0.24725848862808048	-0.032643360954111286	0.2275653125633828			-0.15200580871865735	0.04346806363005094	-0.03264336095411164		0.006227366546533382		-0.02641740545944093	-0.10661814753291246	-0.024411458307008246	0.030714755841697864		-0.15365344018609875	0.039369854697052745			-0.2007977719752171	-0.032643360954111085		0.879236934038279	0.030714755841697836	0.02171091459683862	-0.03264336095411124		0.9347948769445934	-0.09148357448009123	-0.04618105133645277	-0.03264336095411177	-0.10431755051428547	-0.05296993992345853	-0.04911081689436018	-0.05449471330127751	0.0575642013690683	0.016261988343866614	-0.035141786456815635	0.04714850175392742	-0.007733147747377937		0.048616039848702074	-0.007733147747377937	0.030714755841697833	0.08473772164302966		-0.010944086942317846	0.010809154332232436		-0.02517635332384238	0.0037656769200064472	0.04714850175392794	-0.05862493040939999		0.02852836454779561	-0.08897431833333784	0.037357530954107133	-0.09383730140282437	-0.028300431326338516	-0.0209248376689882	-0.12461152669804165	-0.03200369354181607	0.11201296462404559	-0.03641763646684244	-0.03042772635438788	-0.11361503963855961	0.0193572202270559	0.022445783079544732	0.038554382458717396	-0.10427994203684386	0.1744938527375037	-0.004443094502989991	0.1708968640616192	-0.0591557599273324	0.06104843797977548	0.042623583510207945	0.06928332185114015	0.04481363820936858	0.07763224223842455	0.32166198267909085	-0.03361043323465091
working_out_activity	-0.02168738100148197	-0.0010766057708586777	0.0613111588011915	-0.008047690810741354	0.005797723532673473	0.020939336056430405	-0.008594399329291345		-0.0031910372458546937	-0.003747494280291899	0.0977545556764362	1.0	-0.028787245395113556	0.00509103358414981	-0.021747902624665125	-0.015424396309828068	-0.0020313236028540946	-0.030146436677833354	-0.0031910372458547063	0.4295670310000001			-0.03379933672832175	-0.006388869958931666	-0.0031910372458546724		0.2547928867621172		-0.010621177215021949	-0.022242212389000014	-0.007145511683131265	-0.004514408154065593		-0.0012240098261353397	-0.010621177215022032			0.012664675311290256	-0.003191037245854711		-0.08114690115814431	-0.004514408154065593	-0.0031910372458546963	-0.0031910372458547		0.09138045784432815	0.08635203779254351	-0.004514408154065633	-0.003191037245854684	0.048464638052872294	-0.01926775074724907	-0.013620725664035029	0.027911271521613542	-0.008460698870020334	-0.006388869958931376	-0.011995153566143727	-0.009600366203352662	-0.004514408154065672		-0.007145511683130475	-0.004514408154065672	-0.004514408154065615	-0.04167950370078514		-0.006388869958931661	-0.00960036620335268		-0.005530959915240941	0.07080128925038758	-0.009600366203352681	0.014834363133697365		0.034785948072663005	0.02506858352512304	0.0172382495256785	-0.01332301116787204	0.02660003057959726	-0.00687641357459172	-0.029443090496547898	-0.014374448188255352	-0.01311217231571456	0.01777616649670871	0.006665645631786487	0.016661756562362563	-0.00247314595110297	0.05213372946468631	-0.025509846812192198	0.02387379928082754	-0.04693107779271919	-0.009768665317239411	-0.02992380505603074	-0.017385363267136352	-0.0037939450190333395	-0.00905703520338753	-0.03395027286234917	-0.03227647139106569	-0.029818872022291793	-0.03381844337367905	-0.0010702229934874124
email_activity	0.03417660172695553	0.08725207484317508	0.06830068175932641	0.04852298562819259	0.01557076629118713	-0.09130614671909672	-0.0399974418395189		0.11084899586802152	-0.05440199626092028	-0.17349067383426545	-0.028787245395113556	1.0	0.0038990030094035806	-0.02581739620989635	0.06765420027199895	0.09475002574876294	-0.06040116778214379	-0.0063935375893914475	-0.04291867006842379			0.075567772892365	-0.012800690524445156	-0.006393537589391453		-0.011081788584400861		-0.021280508667218395	0.0075977310136293615	0.03819024084809514	-0.009045033323997817		0.09657156125437551	-0.021280508667218152			0.13683636824940043	-0.006393537589391445		-0.15257629277146942	-0.009045033323997807	-0.006393537589391451	0.11084899586802141		-0.1274243514932562	-0.022956135530219128	-0.009045033323997854	-0.006393537589391452	0.14816936540994924	-0.02652595852250401	0.08391890540503642	0.06403589019260127	-0.016951790935146403	0.04588299460710188	-0.024033397076541507	0.01995688729623423	-0.009045033323997845		-0.014316692041398543	-0.009045033323997845	-0.009045033323997807	-0.08134986680030716		0.1632503648701971	-0.019235219605410598		0.05665624380163448	-0.018128679427569194	-0.019235219605410605	-0.015902858943152413		0.047794320398486044	-0.019689922039796543	0.04973131573855116	-0.017477254295676176	-0.027865975600392726	0.028057965216237782	-0.01750004845744819	-0.013621417742636121	0.033550985463757454	0.04260316412476263	0.008142203351446024	0.13591031604665568	-0.0038951536530905553	-0.07034230110586508	0.14245080077563804	-0.0852732618689286	0.12011974258535726	-0.0321775334625912	-0.12039873191184777	0.05082582376359104	0.058517450874874664	0.0665261324358754	0.09044578402993796	0.057679826056625805	0.010285966600369527	-0.09748454553197672	-0.06093038557108136
leisure_activity	-0.04838432724596836	0.07073179309922209	0.07848538338803537	-0.295070548589853	-0.1727115154161393	0.1487006469487206	0.11632136267192994		-0.018684603371271466	0.5003234056399141	-0.3716684843488971	0.00509103358414981	0.0038990030094035806	1.0	-0.05017139191606008	0.028666900685720115	-0.040592283590652985	-0.16378292871177388	0.037930546757989285	-0.07948826048034156			0.3729287428706518	-0.009071280268058186	-0.018684603371271438		-0.032385642760181424		0.0748567947317688	0.05447992565306029	-0.04183938995307304	-0.026433388054095765		0.08095104348067192	-0.045059665418764286			-0.005286676728710251	0.03793054675798953		-0.3367909830609235	-0.026433388054095792	-0.0186846033712715	-0.018684603371271463		-0.3708458700345603	-0.013734299298170003	-0.026433388054096032	0.03793054675798899	-0.0925441869314984	0.20518982767245672	0.06792588099493109	0.08664264177928278	-0.028096098690223396	0.019266435967556866	0.03617288496849546	-0.03728795011193592	0.013613762087946209		-0.04183938995307301	0.013613762087946209	-0.02643338805409576	-0.14883328482394684		0.019266435967557092	-0.018362505986107103		0.06574424474491461	0.007219325747990798	-0.018362505986107103	0.07733297152611468		0.0008636033866851067	0.0835570288553399	0.007225994509702948	0.044272740923513354	0.04860611221735688	-0.04163745188072981	0.03065131671345314	0.0314831193005116	-0.1011990051684156	0.010375262253003694	-0.025615891193383776	0.005651749960015824	-0.03457574766311407	0.0032121082336769983	-0.05506800387780886	0.11824052980156041	-0.14769076188244584	-0.01572829751476735	-0.0981242543121945	-0.03214959448809836	-0.04621885830381148	-0.05255518456868822	-0.06780792786762593	-0.047633215239820774	-0.02436064657713708	-0.26438784874681537	0.08171480734489298
